step Ashen BareBones Cartoon Chibli
8700 0.05668576 0.04124939 0.14872352 0.07311815
8750 0.05987520 0.02104895 0.09229627 0.05183102
8800 0.05278044 0.03784507 0.06418203 0.04251362
8850 0.08295366 0.03343315 0.12835502 0.08634895
8900 0.04187655 0.01794299 0.07486628 0.05595804
8950 0.07134958 0.04276591 0.09702410 0.05624819
9000 0.05899642 0.02936902 0.08267039 0.08086651
9050 0.05898478 0.03530229 0.08714975 0.03768396
9100 0.06429761 0.04300657 0.07937992 0.07007372
9150 0.05745291 0.02476287 0.09867746 0.10020054
9200 0.10212026 0.03984348 0.13034606 0.04093402
9250 0.06654552 0.02068968 0.08265777 0.03039562
9300 0.05861293 0.03674720 0.07473929 0.05146837
9350 0.09918112 0.03132208 0.13614189 0.06571221
9400 0.05138120 0.01720850 0.09069289 0.06151196
9450 0.06477327 0.04068740 0.11826818 0.08318683
9500 0.06866473 0.02818696 0.06699624 0.05873104
9550 0.07285903 0.03558131 0.08327999 0.05432815
9600 0.05111345 0.04272782 0.11048935 0.05610176
9650 0.06146812 0.02336223 0.08151348 0.04021125
9700 0.08397314 0.03897143 0.14907129 0.04010732
9750 0.06360601 0.02020949 0.08359290 0.06609230
9800 0.06567932 0.03634754 0.08860286 0.03185015
9850 0.06949992 0.03034111 0.12897058 0.04075337
9900 0.06156720 0.01659645 0.09084474 0.06098943
9950 0.04789697 0.03972107 0.08944816 0.05546778
10000 0.05814426 0.02759996 0.07411536 0.05683611
