step total noise recon gradient content
8900 0.03403856 0.00229275 0.03928493 0.04677909 0.20883036
8950 0.03370022 0.00232225 0.03862540 0.04559824 0.19836449
9000 0.03288001 0.00214028 0.03654375 0.04303833 0.19113331
9050 0.03235384 0.00214412 0.03630460 0.04448027 0.19064112
9100 0.03276309 0.00219687 0.03715140 0.04545153 0.19274026
9150 0.03295107 0.00216132 0.03689639 0.04573695 0.20121407
9200 0.03260255 0.00214294 0.03822358 0.04727934 0.20865987
9250 0.03249325 0.00192881 0.03906705 0.04752620 0.20767455
9300 0.03328209 0.00190500 0.03910911 0.04776317 0.19686299
9350 0.03356118 0.00205515 0.03837897 0.04609058 0.20307356
9400 0.03285549 0.00214358 0.03733015 0.04560698 0.20298620
9450 0.03268939 0.00218543 0.03682971 0.04544406 0.19404458
9500 0.03200218 0.00202072 0.03512319 0.04323195 0.18854944
9550 0.03153230 0.00204047 0.03513584 0.04428991 0.18865463
9600 0.03193366 0.00209910 0.03603879 0.04511550 0.19073765
9650 0.03193033 0.00206998 0.03534305 0.04504334 0.19808572
9700 0.03167091 0.00206021 0.03672383 0.04658238 0.20497346
9750 0.03185904 0.00185779 0.03813697 0.04696529 0.20498595
9800 0.03263415 0.00183952 0.03815965 0.04690611 0.19415373
9850 0.03290434 0.00199396 0.03736827 0.04525963 0.20038087
9900 0.03228539 0.00208351 0.03649771 0.04493999 0.20085842
9950 0.03209123 0.00212660 0.03593087 0.04486063 0.19199107
10000 0.03176252 0.00208212 0.03485215 0.04273601 0.18796795
