step loss noise_loss recon_loss gradient_loss content_loss
8100 0.04671971 0.00489250 0.02231441 0.03165187 0.24634179
8150 0.02844317 0.00437028 0.02910904 0.04694638 0.09557525
8200 0.04327077 0.00699380 0.03074064 0.03615671 0.25861123
8250 0.02314375 0.00230127 0.03086510 0.04278973 0.09993192
8300 0.03879614 0.00192589 0.06914144 0.09555663 0.55435019
8350 0.03531096 0.00378003 0.06243985 0.07753110 0.19164699
8400 0.01900299 0.00190446 0.03598888 0.04389012 0.12227373
8450 0.04413376 0.00272090 0.02312927 0.03032608 0.12207704
8500 0.03050921 0.00155520 0.02629824 0.02654948 0.08263948
8550 0.03856783 0.00137679 0.04604866 0.05326877 0.10439538
8600 0.04430972 0.00412517 0.01952575 0.02995368 0.21061759
8650 0.02600425 0.00388036 0.02581264 0.04322719 0.08533148
8700 0.04124939 0.00604740 0.02853121 0.03552417 0.24996130
8750 0.02104895 0.00204105 0.02712947 0.03924975 0.08551050
8800 0.03784507 0.00183026 0.06756519 0.08532910 0.54856109
8850 0.03343315 0.00352865 0.06638087 0.07260889 0.20019103
8900 0.01794299 0.00170749 0.03240767 0.04409072 0.10967281
8950 0.04276591 0.00241711 0.02270383 0.02814608 0.12060650
9000 0.02936902 0.00138243 0.02342133 0.02640656 0.08327547
9050 0.03530229 0.00122066 0.04288807 0.04893756 0.10639228
9100 0.04300657 0.00361228 0.01849072 0.02818403 0.20624970
9150 0.02476287 0.00361447 0.02519981 0.04242385 0.08723637
9200 0.03984348 0.00557120 0.02644755 0.03340893 0.23993881
9250 0.02068968 0.00185031 0.02728542 0.03795082 0.08024799
9300 0.03674720 0.00165307 0.06440717 0.08474271 0.52632675
9350 0.03132208 0.00329678 0.05996485 0.07083852 0.18328729
9400 0.01720850 0.00161416 0.03207933 0.04446485 0.11223831
9450 0.04068740 0.00219718 0.02013115 0.02692214 0.11971241
9500 0.02818696 0.00127961 0.02188263 0.02652051 0.07863355
9550 0.03558131 0.00111096 0.04240599 0.05011476 0.09947992
9600 0.04272782 0.00332328 0.01885007 0.02829614 0.20354757
9650 0.02336223 0.00348156 0.02406325 0.04157066 0.08742880
9700 0.03897143 0.00536137 0.02557085 0.03288971 0.23587429
9750 0.02020949 0.00182139 0.02682352 0.03716069 0.07751849
9800 0.03634754 0.00162848 0.06358451 0.08024388 0.51665827
9850 0.03034111 0.00323743 0.05699999 0.06804292 0.17112585
9900 0.01659645 0.00155391 0.03281753 0.04324824 0.11403632
9950 0.03972107 0.00214444 0.01917778 0.02558230 0.11927093
10000 0.02759996 0.00123628 0.02121542 0.02623914 0.07763028
